English,Karaoké,Thaï
Yes ,chai,ใช่
I ,phŏm,ผม
You ,kun,คุณ
He ,khăo,เขา
She ,tĕr,เธอ
We ,răo,เรา
To eat ,gin,กิน
To drink ,khîaw,เคี้ยว
To go ,bpai,ไป
To come ,maa,มา
To see ,hen,เห็น
To speak ,phûut,พูด
Friend ,p̄hỷn,เพื่อน
House ,bâan,บ้าน
Car ,rót,รถ
Money ,ngern,เงิน
Food ,āhān,อาหาร
Water ,nạm,น้ำ
Rice ,kăao,ข้าว
Noodles ,sĕn,เส้น
Spicy,phĕd (ผ็),เผ็ด
Duck,phĕd (ป็),เป็ด
Beef ,nêua-bpet,เนื้อ
Chicken ,kài,ไก่
Pork ,mûu,หมู
Fish ,plâa,ปลา
Shrimp ,kûng,กุ้ง
Egg ,khài,ไข่
Chilies ,phrik,พริก
Salt ,glêua,เกลือ
Head ,hûa,หัว
Face ,nâa,หน้า
Eyes ,dtaa,ตา
Mouth ,bpàak,ปาก
Tongue ,lin,ลิ้น
Teeth ,fan,ฟัน
Ear ,hûu,หู
Hair ,phxm,ผม
Neck ,khx,คอ
Shoulder ,lâi,ไหล่
Arm ,khăen,แขน
Hand ,mue,มือ
Finger ,niu,นิ้ว
Stomach ,eo,เอว
Waist ,eo,เอว
Leg ,kăa,ขา
Foot ,thâao,เท้า
Teacher ,khruu,ครู
Judge ,săan,ศาล
Shirt ,suea,เสื้อ
Father ,phx,พ่อ
Mother ,mâe,แม่
Kids ,dèk,เด็ก
To run ,wing,วิ่ง
To smell ,glîn,กลิ่น
To taste ,rót,รส
To think ,khit,คิด
Who ,khrai,ใคร
Car ,rót,รถ
0,soun,ศูนย์
1000,pan,พัน
1_000_000,Lan,ล้าน
and,láe,และ
or,rǔe,หรือ
but,dtàe,แต่
if,thâa,ถ้า
for,phûeua,เพื่อ
from,jàak,จาก
on,bon,บน
in,nai,ใน
under,dtâi,ใต้
with,gàp,กับ
